Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placed,Branch_Agricultural Engineering,Branch_Applied Electronics and Instrumentation,Branch_Automobile Engineering,Branch_Civil Engineering,Branch_Computer Science Engineering,Branch_Electrical Engineering,Branch_Electrical and Electronics Engineering,Branch_Electronics and Communications Engineering,Branch_Electronics and Instrumentation Engineering,Branch_Information Technology,Branch_Instrumentation and Control Engineering,Branch_MCA,Branch_Mechanical Engineering,Degree_B. Tech.,Degree_BE,Degree_M. Tech.,Degree_MCA
67,87,47,67,70,73,90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,73,47,60,35,40,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,60,20,60,35,27,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,53,47,33,30,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
48,55,20,70,30,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,33,20,20,35,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
84,87,93,73,65,53,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,53,40,60,40,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,60,33,53,20,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
56,53,47,67,20,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
71,67,73,73,60,53,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,67,67,60,30,67,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43,50,20,60,40,33,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,47,53,53,45,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,75,15,70,53,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,67,33,60,65,20,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,33,33,33,30,47,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
64,73,53,67,35,53,96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
80,80,85,75,47,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60,53,53,73,35,93,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,60,27,40,40,40,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,60,40,60,30,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
58,73,40,60,40,53,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,67,87,80,50,60,97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27,47,20,13,15,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,55,30,55,30,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,80,53,67,35,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
62,60,80,47,35,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42,53,40,33,40,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,40,13,33,40,53,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,55,40,55,13,40,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,60,73,67,50,47,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45,50,40,45,40,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29,27,20,40,30,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,60,53,60,45,33,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,55,20,65,27,47,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,87,27,53,45,40,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55,60,35,70,53,53,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,67,33,60,45,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,67,20,40,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,67,53,60,65,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,60,33,80,35,53,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44,47,47,40,15,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,73,87,60,30,60,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,75,15,60,43,53,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,53,27,60,55,60,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
44,53,40,40,30,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44,33,53,47,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,67,33,73,55,73,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
53,67,33,60,35,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,47,13,47,25,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36,40,33,33,30,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,73,67,47,40,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
64,60,73,60,55,40,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44,67,40,27,40,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,40,47,53,30,20,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,20,47,67,5,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29,47,0,40,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,93,7,60,50,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,60,27,53,55,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
42,47,33,47,15,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,47,53,47,35,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
51,47,40,67,25,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,60,47,47,30,60,76,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,53,60,67,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,40,20,20,25,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
62,73,33,80,40,67,58,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50,50,40,60,43,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
69,80,53,73,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,67,47,67,15,27,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
